"open","high","low","close","volume","timestamp","pair","timeframe"
4e-8,1.3e-7,3e-8,6e-8,65392288.1921477,1578528000000,"LCX/BTC","1M"
7e-8,3.2e-7,6e-8,1.3e-7,226227105.79817405,1581120000000,"LCX/BTC","1M"
1.2e-7,2.6e-7,3e-8,1.7e-7,204484025.545306,1583712000000,"LCX/BTC","1M"
1.9e-7,0.000001,1.8e-7,8e-7,198602621.804065,1586304000000,"LCX/BTC","1M"
8.1e-7,0.0000024,8e-8,0.00000135,245843256.224171,1588896000000,"LCX/BTC","1M"
0.00000135,0.00000148,8.1e-7,0.00000126,102340546.806983,1591488000000,"LCX/BTC","1M"
0.00000126,0.000002,0.000001,0.00000139,65758393.741886,1594080000000,"LCX/BTC","1M"
0.00000138,0.0000025,0.00000106,0.00000113,48679582.939077,1596672000000,"LCX/BTC","1M"
0.00000119,0.00000149,8.9e-7,0.00000122,32140742.021549,1599264000000,"LCX/BTC","1M"
0.00000121,0.0000015,7.2e-7,7.2e-7,21680686.736042,1601856000000,"LCX/BTC","1M"
7.7e-7,8.3e-7,3.7e-7,5e-7,24988171.769336,1604448000000,"LCX/BTC","1M"
4.7e-7,5.5e-7,4e-7,4.5e-7,3096365.781382,1607040000000,"LCX/BTC","1M"
