"open","high","low","close","volume","timestamp","pair","timeframe"
367.73,367.73,367.73,367.73,0,1602964800000,"ETH/USDC",120
651.34,668.28,651.34,666.5,13.08964,1608199200000,"ETH/USDC",120
367.73,367.73,367.73,367.73,0,1602979200000,"ETH/USDC",120
367.73,367.73,367.73,367.73,0,1602986400000,"ETH/USDC",120
367.73,367.73,367.73,367.73,0,1602993600000,"ETH/USDC",120
370.51,373.82,370.51,374.08,43.32837,1603000800000,"ETH/USDC",120
373.96,374.2,371.95,372.26,3.373039,1603008000000,"ETH/USDC",120
372.91,373.11,372.91,373.1,0.739761,1603015200000,"ETH/USDC",120
374.33,374.33,372.2,374.04,0.22179,1603022400000,"ETH/USDC",120
375.88,376.89,373.44,375.92,4.456455,1603029600000,"ETH/USDC",120
376.35,376.66,376.2,376.6,63.172619,1603036800000,"ETH/USDC",120
377.38,377.38,377.38,377.38,0.841808,1603044000000,"ETH/USDC",120
374.63,374.82,374.52,374.82,3.636144,1603051200000,"ETH/USDC",120
375.03,375.26,375.03,375.22,2.721946,1603058400000,"ETH/USDC",120
375.22,375.22,375.22,376.86,0,1603065600000,"ETH/USDC",120
376.37,376.37,376.37,376.37,3.582683,1603072800000,"ETH/USDC",120
376.37,376.37,376.37,376.37,0,1603080000000,"ETH/USDC",120
376.37,376.37,376.37,376.37,0,1603087200000,"ETH/USDC",120
376.37,376.37,376.37,376.37,0,1603094400000,"ETH/USDC",120
376.37,376.37,376.37,376.92,0,1603101600000,"ETH/USDC",120
376.92,376.92,376.92,376.92,0,1603108800000,"ETH/USDC",120
376.92,376.92,376.92,382.42,0,1603116000000,"ETH/USDC",120
383.04,383.04,382.59,381.61,24.690356,1603123200000,"ETH/USDC",120
380.63,381,378.73,379.71,37.133333,1603130400000,"ETH/USDC",120
379.71,379.71,379.71,380.05,0,1603137600000,"ETH/USDC",120
379.23,379.59,377.26,378.34,9.276665,1603144800000,"ETH/USDC",120
378.8,378.8,378.8,378.1,0.308327,1603152000000,"ETH/USDC",120
379.36,379.62,377.61,380.54,22.804627,1603159200000,"ETH/USDC",120
380.43,380.55,378.7,378.7,1.460688,1603166400000,"ETH/USDC",120
378.7,378.7,378.7,375.7,0,1603173600000,"ETH/USDC",120
376.39,376.39,373.03,375.47,5.179248,1603180800000,"ETH/USDC",120
376.31,377.29,374.79,368.41,9.647045,1603188000000,"ETH/USDC",120
370.81,370.81,370.21,371.21,3.336198,1603195200000,"ETH/USDC",120
370.86,370.86,367.81,371.83,5.532545,1603202400000,"ETH/USDC",120
371.83,371.83,371.83,371.92,0,1603209600000,"ETH/USDC",120
371.92,371.92,371.92,371.92,0,1603216800000,"ETH/USDC",120
367.76,368.49,367.76,368.85,3.509801,1603224000000,"ETH/USDC",120
370.95,371.02,370.52,370.67,13.472812,1603231200000,"ETH/USDC",120
370.67,370.67,370.67,371.85,0,1603238400000,"ETH/USDC",120
372.2,372.51,371.61,372.51,3.708512,1603245600000,"ETH/USDC",120
372.51,372.51,372.51,379.81,0,1603252800000,"ETH/USDC",120
381.32,381.32,381.26,377.26,0.04,1603260000000,"ETH/USDC",120
378.27,379.01,376.88,379.24,46.429258,1603267200000,"ETH/USDC",120
381.39,381.39,378.26,380.97,6.726215,1603274400000,"ETH/USDC",120
379.71,380,378.01,384.98,3.370645,1603281600000,"ETH/USDC",120
384.98,384.98,384.98,390.37,0,1603288800000,"ETH/USDC",120
396.45,399.24,394.75,394.75,6.798017,1603296000000,"ETH/USDC",120
395.25,395.25,394.01,394.11,2.704837,1603303200000,"ETH/USDC",120
392.23,392.23,392.23,392.23,0.581622,1603310400000,"ETH/USDC",120
396.87,399.59,396.19,390.86,13.407438,1603317600000,"ETH/USDC",120
390.86,390.86,390.86,390.86,0,1603324800000,"ETH/USDC",120
393.21,393.83,393.21,393.83,1.726021,1603332000000,"ETH/USDC",120
393.83,393.83,393.83,394.32,0,1603339200000,"ETH/USDC",120
394.39,394.43,394.39,394.85,5.90482,1603346400000,"ETH/USDC",120
395.86,395.86,395.86,395.45,0.066934,1603353600000,"ETH/USDC",120
406.94,409.08,406.94,411.82,1.123118,1603360800000,"ETH/USDC",120
413.68,413.68,409.54,411.57,4.824481,1603368000000,"ETH/USDC",120
413.6,413.6,412.13,413.37,3.850803,1603375200000,"ETH/USDC",120
415.05,415.05,414.09,415.95,0.8864,1603382400000,"ETH/USDC",120
417.21,417.21,415.59,417.17,7.551703,1603389600000,"ETH/USDC",120
417.04,418.29,417.04,415.29,0.279034,1603396800000,"ETH/USDC",120
417.29,417.29,417.29,413.71,6.642081,1603404000000,"ETH/USDC",120
