"open","high","low","close","volume","timestamp","pair","timeframe"
11367.45,11367.45,11360.13,11342.33,0.02966,1602964800000,"BTC/USDC",240
22430.76,22799.28,22430.63,22705.06,2.13749,1608192000000,"BTC/USDC",240
11373.96,11373.96,11373.96,11460.58,0,1602993600000,"BTC/USDC",240
11466.46,11466.46,11441.23,11436.14,0.016633,1603008000000,"BTC/USDC",240
11449.51,11453.95,11393.86,11454.02,0.030776,1603022400000,"BTC/USDC",240
11454.02,11454.02,11454.02,11470.93,0,1603036800000,"BTC/USDC",240
11457.52,11458.62,11410.38,11480.74,1.71805,1603051200000,"BTC/USDC",240
11472.18,11500.22,11470.04,11423.94,1.23326,1603065600000,"BTC/USDC",240
11423.74,11434.57,11423.74,11459.13,0.02246,1603080000000,"BTC/USDC",240
11459.02,11492.46,11456.09,11514.09,0.423885,1603094400000,"BTC/USDC",240
11524.44,11528.33,11521.31,11797.44,0.021153,1603108800000,"BTC/USDC",240
11774.32,11774.32,11738.43,11672.87,0.127231,1603123200000,"BTC/USDC",240
11678.76,11716.71,11650.95,11731.61,0.187523,1603137600000,"BTC/USDC",240
11731.61,11731.61,11731.61,11723.47,0,1603152000000,"BTC/USDC",240
11723.47,11723.47,11723.47,11729.22,0,1603166400000,"BTC/USDC",240
11742.63,11742.63,11691.54,11809.81,0.56236,1603180800000,"BTC/USDC",240
11784.41,11881.88,11779.97,11932.98,1.031136,1603195200000,"BTC/USDC",240
11931.5,12003.27,11926.74,11933.12,0.523653,1603209600000,"BTC/USDC",240
11914.04,11927.76,11890,11941.87,0.702764,1603224000000,"BTC/USDC",240
11942.09,11995.22,11921.12,12205.62,2.439549,1603238400000,"BTC/USDC",240
12274.89,12309.7,12263.29,12205.24,0.250649,1603252800000,"BTC/USDC",240
12205.24,12217.73,12161.19,12345.62,3.064976,1603267200000,"BTC/USDC",240
12343.21,12361.45,12323.17,12748.44,0.284703,1603281600000,"BTC/USDC",240
12753.62,12878.35,12753.62,12725.38,0.591076,1603296000000,"BTC/USDC",240
12770.46,12813.57,12770.46,12794.68,0.179114,1603310400000,"BTC/USDC",240
12826.43,12933.68,12822.08,12787.39,1.636123,1603324800000,"BTC/USDC",240
12743.65,12743.65,12743.65,12764.81,0.002047,1603339200000,"BTC/USDC",240
12764.81,12764.81,12764.81,12979.75,0,1603353600000,"BTC/USDC",240
12931.72,12954.97,12833.54,12939.3,1.758334,1603368000000,"BTC/USDC",240
12921.1,13071.07,12921.1,13080.2,0.537112,1603382400000,"BTC/USDC",240
13098.86,13148.36,13092.98,12998.84,0.098039,1603396800000,"BTC/USDC",240
12972.8,12973.9,12828.32,12989.94,0.42524,1603411200000,"BTC/USDC",240
