"open","high","low","close","volume","timestamp","pair","timeframe"
0.00028925,0.0006,0.000112,0.0004002,33557298.17218362,1576713600000,"LCX/USDC","1W"
0.0004002,0.00056991,0.00025,0.0002802,17645755.77343988,1577318400000,"LCX/USDC","1W"
0.0002802,0.00042,0.00022,0.00033075,18227512.14182046,1577923200000,"LCX/USDC","1W"
0.0003112,0.000748,0.00025,0.0005951,24297632.05029232,1578528000000,"LCX/USDC","1W"
0.0006,0.000732,0.00043,0.00052,10344717.530115,1579132800000,"LCX/USDC","1W"
0.00054,0.00057,0.00054,0.00054,242339.76142857998,1579737600000,"LCX/USDC","1W"
0.00054,0.00054,0.00054,0.00054,0,1580342400000,"LCX/USDC","1W"
0.00050003,0.00097997,0.00050003,0.00097997,4436030.17973408,1580947200000,"LCX/USDC","1W"
0.00097997,0.0076,0.00094005,0.00219999,7036713.10424156,1581552000000,"LCX/USDC","1W"
0.00219992,0.00297998,0.00115,0.00199997,2151237.47421782,1582156800000,"LCX/USDC","1W"
0.00199996,0.00199997,0.0008,0.00135,1284135.38817588,1582761600000,"LCX/USDC","1W"
0.00149,0.00149998,0.00083,0.00083003,1635170.7914136,1583366400000,"LCX/USDC","1W"
0.00132997,0.00132997,0.00056,0.00099989,4780993.51224394,1583971200000,"LCX/USDC","1W"
0.0009999,0.0012995,0.00059005,0.00113332,1051486.652031,1584576000000,"LCX/USDC","1W"
0.00129789,0.0015,0.0006,0.00144998,1183235.874973,1585180800000,"LCX/USDC","1W"
0.00108,0.00164997,0.00090013,0.00164997,2648719.351027,1585785600000,"LCX/USDC","1W"
0.001415,0.0018,0.0014,0.00178999,276009.325,1586390400000,"LCX/USDC","1W"
0.00178999,0.004,0.00178999,0.00380995,1669596.10566,1586995200000,"LCX/USDC","1W"
0.00290003,0.0095,0.00290003,0.00500001,1336305.878807,1587600000000,"LCX/USDC","1W"
0.00719998,0.00719999,0.00150006,0.00719997,698522.121469,1588204800000,"LCX/USDC","1W"
0.00699993,0.0197,0.00450007,0.01259999,1234255.101911,1588809600000,"LCX/USDC","1W"
0.01259989,0.01499999,0.00870008,0.0125,443272.063793,1589414400000,"LCX/USDC","1W"
0.01100001,0.02175,0.00210034,0.01794995,1974968.439409,1590019200000,"LCX/USDC","1W"
0.01000005,0.01795,0.01000005,0.01595999,646981.986752,1590624000000,"LCX/USDC","1W"
0.01595996,0.01595997,0.01,0.01299989,177430.725217,1591228800000,"LCX/USDC","1W"
0.01000014,0.01249998,0.00710002,0.01004,346421.662486,1591833600000,"LCX/USDC","1W"
0.012,0.0129999,0.00718979,0.01089999,1105017.594538,1592438400000,"LCX/USDC","1W"
0.00790008,0.01199999,0.00790008,0.009,104800.751785,1593043200000,"LCX/USDC","1W"
0.0097,0.0131,0.00900002,0.01229999,1075810.506734,1593648000000,"LCX/USDC","1W"
0.0123,0.0123,0.00940024,0.0122,1803700.236724,1594252800000,"LCX/USDC","1W"
0.00965025,0.01994997,0.00965001,0.01895242,827592.647459,1594857600000,"LCX/USDC","1W"
0.01999999,0.01999999,0.01028001,0.01899995,86187.533172,1595462400000,"LCX/USDC","1W"
0.01180001,0.0159999,0.01180001,0.0159999,147987.417335,1596067200000,"LCX/USDC","1W"
0.0159999,0.02999996,0.01310007,0.02889,654785.955823,1596672000000,"LCX/USDC","1W"
0.0219,0.0284,0.01585002,0.01765321,21240.805469,1597276800000,"LCX/USDC","1W"
0.01765321,0.02799999,0.01400001,0.02799999,14663.194531,1597881600000,"LCX/USDC","1W"
0.02799999,0.02799999,0.01200201,0.01400201,116753.33029,1598486400000,"LCX/USDC","1W"
0.01440001,0.015,0.01039898,0.015,528923.928264,1599091200000,"LCX/USDC","1W"
0.015,0.01529262,0.01299999,0.013,10788.119608,1599696000000,"LCX/USDC","1W"
0.01339899,0.01529261,0.009,0.009,169640.192917,1600300800000,"LCX/USDC","1W"
0.0115643,0.01529262,0.0115643,0.015,38496.389151,1600905600000,"LCX/USDC","1W"
0.00917565,0.01890431,0.00917565,0.01890431,20209.364627,1601510400000,"LCX/USDC","1W"
0.01599997,0.01599997,0.00917564,0.01499999,77089.27334,1602115200000,"LCX/USDC","1W"
0.0134226,0.01349998,0.0134226,0.01349998,11000,1602720000000,"LCX/USDC","1W"
0.01349999,0.01799999,0.01349999,0.01799999,104460.744983,1603324800000,"LCX/USDC","1W"
0.01080003,0.01512003,0.00917566,0.00945404,160724.552542,1603929600000,"LCX/USDC","1W"
0.00945402,0.0179842,0.00945402,0.01449999,207477.394787,1604534400000,"LCX/USDC","1W"
0.01399999,0.01399999,0.00954105,0.00994105,76414.791596,1605139200000,"LCX/USDC","1W"
0.00954108,0.01335737,0.00735001,0.00780272,592746.297778,1605744000000,"LCX/USDC","1W"
0.00778327,0.01335737,0.007,0.01260021,925285.913192,1606348800000,"LCX/USDC","1W"
0.01319999,0.01319999,0.009,0.01237247,89892,1606953600000,"LCX/USDC","1W"
0.01237249,0.01237249,0.01237249,0.01237249,1556.778784,1607558400000,"LCX/USDC","1W"
