"open","high","low","close","volume","timestamp","pair","timeframe"
11367.45,11367.45,11360.13,11360.13,0.02966,1602968400000,"BTC/USDC",1
11335.47,11335.47,11335.47,11335.47,0.003987,1602972000000,"BTC/USDC",1
11342.33,11342.33,11342.33,11342.33,0.007557,1602975600000,"BTC/USDC",1
11342.33,11342.33,11342.33,11342.33,0,1602979200000,"BTC/USDC",1
11392.14,11392.54,11380.79,11380.79,0.02696,1602982800000,"BTC/USDC",1
11378.39,11378.39,11373.96,11373.96,0.009947,1602986400000,"BTC/USDC",1
11373.96,11373.96,11373.96,11373.96,0,1602990000000,"BTC/USDC",1
11373.96,11373.96,11373.96,11373.96,0,1602993600000,"BTC/USDC",1
11373.96,11373.96,11373.96,11373.96,0,1602997200000,"BTC/USDC",1
11428.3,11439.93,11428.3,11439.93,1.004235,1603000800000,"BTC/USDC",1
11465.64,11465.64,11460.58,11460.58,0.016563,1603004400000,"BTC/USDC",1
11466.46,11466.46,11441.23,11447.49,0.016633,1603008000000,"BTC/USDC",1
11447.49,11447.49,11447.49,11447.49,0,1603011600000,"BTC/USDC",1
11433.55,11433.55,11425.75,11427.16,0.039093,1603015200000,"BTC/USDC",1
11432.46,11458.8,11429.7,11436.14,0.059294,1603018800000,"BTC/USDC",1
11449.51,11453.95,11393.86,11393.86,0.030776,1603022400000,"BTC/USDC",1
11461.26,11467.53,11436.79,11461.05,0.372341,1603026000000,"BTC/USDC",1
11464.39,11500.22,11405.71,11423.79,0.349962,1603029600000,"BTC/USDC",1
11434.71,11454.02,11434.71,11454.02,0.013005,1603033200000,"BTC/USDC",1
11454.02,11454.02,11454.02,11454.02,0,1603036800000,"BTC/USDC",1
11455.77,11488.23,11440.08,11488.23,0.331492,1603040400000,"BTC/USDC",1
11471.2,11479.96,11453.28,11457.53,0.140618,1603044000000,"BTC/USDC",1
11463.36,11470.93,11463.36,11470.93,0.017222,1603047600000,"BTC/USDC",1
11457.52,11458.62,11410.38,11430.38,1.71805,1603051200000,"BTC/USDC",1
11438.29,11450.47,11422.97,11446.37,0.059024,1603054800000,"BTC/USDC",1
11458.64,11458.64,11449.02,11449.02,0.02462,1603058400000,"BTC/USDC",1
11464.83,11480.74,11458.94,11480.74,0.17636,1603062000000,"BTC/USDC",1
11472.18,11500.22,11470.04,11489.31,1.23326,1603065600000,"BTC/USDC",1
11458.6,11496.46,11435.12,11481.39,1.481084,1603069200000,"BTC/USDC",1
11475.55,11484.62,11447.21,11447.21,0.384643,1603072800000,"BTC/USDC",1
11453.45,11453.55,11420.08,11423.94,0.047522,1603076400000,"BTC/USDC",1
11423.74,11434.57,11423.74,11434.57,0.02246,1603080000000,"BTC/USDC",1
11431.12,11460.44,11428.88,11438.66,0.323872,1603083600000,"BTC/USDC",1
11430.95,11440.06,11428.94,11440.06,0.037513,1603087200000,"BTC/USDC",1
11444.58,11459.14,11444.58,11459.13,0.068733,1603090800000,"BTC/USDC",1
11459.02,11492.46,11456.09,11466.93,0.423885,1603094400000,"BTC/USDC",1
11466.93,11466.93,11466.93,11466.93,0,1603098000000,"BTC/USDC",1
11463.65,11463.65,11463.65,11463.65,0.004759,1603101600000,"BTC/USDC",1
11486.83,11514.09,11486.83,11514.09,0.042773,1603105200000,"BTC/USDC",1
11524.44,11528.33,11521.31,11528.33,0.021153,1603108800000,"BTC/USDC",1
11606.45,11656.3,11606.45,11655.34,0.043785,1603112400000,"BTC/USDC",1
11631.45,11631.45,11631.45,11631.45,0.002037,1603116000000,"BTC/USDC",1
11657.99,11798.84,11647.73,11797.44,0.179025,1603119600000,"BTC/USDC",1
11774.32,11774.32,11738.43,11766.07,0.127231,1603123200000,"BTC/USDC",1
11765.03,11775.46,11721.86,11731.52,0.191781,1603126800000,"BTC/USDC",1
11722.03,11775.16,11688.98,11702.03,1.352081,1603130400000,"BTC/USDC",1
11664.88,11697.76,11652.11,11672.87,0.148806,1603134000000,"BTC/USDC",1
11678.76,11716.71,11650.95,11716.71,0.187523,1603137600000,"BTC/USDC",1
11737.8,11781.22,11731.49,11770.76,1.656696,1603141200000,"BTC/USDC",1
11770.55,11803.35,11723.96,11765.59,2.539818,1603144800000,"BTC/USDC",1
11731.08,11732.18,11702.95,11731.61,0.199784,1603148400000,"BTC/USDC",1
11731.61,11731.61,11731.61,11731.61,0,1603152000000,"BTC/USDC",1
11731.61,11731.61,11731.61,11731.61,0,1603155600000,"BTC/USDC",1
11731.61,11731.61,11731.61,11731.61,0,1603159200000,"BTC/USDC",1
11723.07,11723.47,11723.07,11723.47,0.004,1603162800000,"BTC/USDC",1
