"open","high","low","close","volume","timestamp","pair","timeframe"
546.39,546.39,546.39,546.39,0,1607662500000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607662560000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607662620000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607662680000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607662740000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607662800000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607662860000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607662920000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607662980000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607663040000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607663100000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607663160000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607663220000,"ETH/USDC",1
546.39,546.39,546.39,546.39,0,1607663280000,"ETH/USDC",1
548.33,548.33,548.33,548.33,0.047292,1607663340000,"ETH/USDC",1
548.33,548.33,548.33,548.33,0,1607663400000,"ETH/USDC",1
547.84,547.84,547.84,547.84,0.160926,1607663460000,"ETH/USDC",1
547.65,547.65,547.65,547.65,0.120546,1607663520000,"ETH/USDC",1
547.65,547.65,547.65,547.65,0,1607663580000,"ETH/USDC",1
547.65,547.65,547.65,547.65,0,1607663640000,"ETH/USDC",1
547.65,547.65,547.65,547.65,0,1607663700000,"ETH/USDC",1
547.65,547.65,547.65,547.65,0,1607663760000,"ETH/USDC",1
547.65,547.65,547.65,547.65,0,1607663820000,"ETH/USDC",1
547.65,547.65,547.65,547.65,0,1607663880000,"ETH/USDC",1
547.65,547.65,547.65,547.65,0,1607663940000,"ETH/USDC",1
547.65,547.65,547.65,547.65,0,1607664000000,"ETH/USDC",1
547.65,547.65,547.65,547.65,0,1607664060000,"ETH/USDC",1
544.92,544.92,544.92,544.92,0.02,1607664120000,"ETH/USDC",1
544.92,544.92,544.92,544.92,0,1607664180000,"ETH/USDC",1
544.92,544.92,544.92,544.92,0,1607664240000,"ETH/USDC",1
544.92,544.92,544.92,544.92,0,1607664300000,"ETH/USDC",1
544.92,544.92,544.92,544.92,0,1607664360000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0.2,1607664420000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607664480000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607664540000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607664600000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607664660000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607664720000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607664780000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607664840000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607664900000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607664960000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607665020000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607665080000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607665140000,"ETH/USDC",1
545.35,545.35,545.35,545.35,0,1607665200000,"ETH/USDC",1
546.54,546.54,546.54,546.54,1.696412,1607665260000,"ETH/USDC",1
546.54,546.54,546.54,546.54,0,1607665320000,"ETH/USDC",1
545.57,545.57,545.57,545.57,2.4,1607665380000,"ETH/USDC",1
545.57,545.57,545.57,545.57,0,1607665440000,"ETH/USDC",1
545.57,545.57,545.57,545.57,0,1607665500000,"ETH/USDC",1
544.32,544.32,544.32,544.32,0.09496,1607665560000,"ETH/USDC",1
543.49,543.89,543.49,543.89,7.241938,1607665620000,"ETH/USDC",1
544.27,544.27,541.09,544.03,0.52928,1607665680000,"ETH/USDC",1
544.32,544.32,544.28,544.28,0.181766,1607665740000,"ETH/USDC",1
544.28,544.28,544.27,544.27,0.372544,1607665800000,"ETH/USDC",1
544.27,544.27,544.27,544.27,0,1607665860000,"ETH/USDC",1
544.27,544.27,544.27,544.27,0,1607665920000,"ETH/USDC",1
544.27,544.27,544.27,544.27,0,1607665980000,"ETH/USDC",1
545.82,545.82,545.82,545.82,0.0594,1607666040000,"ETH/USDC",1
545.82,545.82,545.82,545.82,0,1607666100000,"ETH/USDC",1
545.82,545.82,545.82,545.82,0,1607666160000,"ETH/USDC",1
545.82,545.82,545.82,545.82,0,1607666220000,"ETH/USDC",1
545.82,545.82,545.82,545.82,0,1607666280000,"ETH/USDC",1
545.82,545.82,545.82,545.82,0,1607666340000,"ETH/USDC",1
545.66,545.66,544.94,544.94,0.080087,1607666400000,"ETH/USDC",1
544.94,544.94,544.94,544.94,0,1607666460000,"ETH/USDC",1
544.94,544.94,544.94,544.94,0,1607666520000,"ETH/USDC",1
544.94,544.94,544.94,544.94,0,1607666580000,"ETH/USDC",1
544.94,544.94,544.94,544.94,0,1607666640000,"ETH/USDC",1
544.94,544.94,544.94,544.94,0,1607666700000,"ETH/USDC",1
