"open","high","low","close","volume","timestamp","pair","timeframe"
18050.45,18050.45,18050.45,18050.45,0,1607663400000,"BTC/USDC",5
22507.52,22507.52,22507.52,22705.06,0,1608203100000,"BTC/USDC",5
18050.45,18050.45,18050.45,18050.45,0,1607664000000,"BTC/USDC",5
18050.45,18050.45,18050.45,17957.28,0,1607664300000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607664600000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607664900000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607665200000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607665500000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607665800000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607666100000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607666400000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607666700000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607667000000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607667300000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607667600000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607667900000,"BTC/USDC",5
17957.28,17957.28,17957.28,17957.28,0,1607668200000,"BTC/USDC",5
17957.28,17957.28,17957.28,17934.51,0,1607668500000,"BTC/USDC",5
17914.28,17914.28,17914.27,17914.27,0.018643,1607668800000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607669100000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607669400000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607669700000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607670000000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607670300000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607670600000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607670900000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607671200000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607671500000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607671800000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607672100000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607672400000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607672700000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607673000000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607673300000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607673600000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607673900000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607674200000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607674500000,"BTC/USDC",5
17914.27,17914.27,17914.27,17914.27,0,1607674800000,"BTC/USDC",5
17992.55,17992.55,17992.55,17992.55,0.068364,1607675100000,"BTC/USDC",5
17992.55,17992.55,17992.55,17992.55,0,1607675400000,"BTC/USDC",5
17992.55,17992.55,17992.55,17992.55,0,1607675700000,"BTC/USDC",5
17992.55,17992.55,17992.55,17992.55,0,1607676000000,"BTC/USDC",5
17992.55,17992.55,17992.55,17992.55,0,1607676300000,"BTC/USDC",5
17992.55,17992.55,17992.55,17992.55,0,1607676600000,"BTC/USDC",5
17992.55,17992.55,17992.55,17992.55,0,1607676900000,"BTC/USDC",5
17992.55,17992.55,17992.55,17992.55,0,1607677200000,"BTC/USDC",5
17992.55,17992.55,17992.55,17992.55,0,1607677500000,"BTC/USDC",5
17992.55,17992.55,17992.55,17992.55,0,1607677800000,"BTC/USDC",5
17992.55,17992.55,17992.55,17857.16,0,1607678100000,"BTC/USDC",5
17857.16,17857.16,17857.16,17848.05,0,1607678400000,"BTC/USDC",5
17854.58,17854.58,17852.25,17879.73,0.145846,1607678700000,"BTC/USDC",5
17879.73,17879.73,17879.73,17879.73,0,1607679000000,"BTC/USDC",5
17879.73,17879.73,17879.73,17879.73,0,1607679300000,"BTC/USDC",5
17879.73,17879.73,17879.73,17879.73,0,1607679600000,"BTC/USDC",5
17879.73,17879.73,17879.73,17879.73,0,1607679900000,"BTC/USDC",5
17879.73,17879.73,17879.73,17879.73,0,1607680200000,"BTC/USDC",5
17879.73,17879.73,17879.73,17879.73,0,1607680500000,"BTC/USDC",5
17879.73,17879.73,17879.73,17879.73,0,1607680800000,"BTC/USDC",5
17879.73,17879.73,17879.73,17879.73,0,1607681100000,"BTC/USDC",5
17879.73,17879.73,17879.73,17879.73,0,1607681400000,"BTC/USDC",5
17879.73,17879.73,17879.73,17879.73,0,1607681700000,"BTC/USDC",5
17879.73,17879.73,17879.73,17678.55,0,1607682000000,"BTC/USDC",5
17678.55,17678.55,17678.55,17678.55,0,1607682300000,"BTC/USDC",5
17678.55,17678.55,17678.55,17678.55,0,1607682600000,"BTC/USDC",5
17678.55,17678.55,17678.55,17678.55,0,1607682900000,"BTC/USDC",5
17678.55,17678.55,17678.55,17837.4,0,1607683200000,"BTC/USDC",5
17837.4,17837.4,17837.4,17837.4,0,1607683500000,"BTC/USDC",5
17837.4,17837.4,17837.4,17837.4,0,1607683800000,"BTC/USDC",5
17837.4,17837.4,17837.4,17837.4,0,1607684100000,"BTC/USDC",5
17837.4,17837.4,17837.4,17837.4,0,1607684400000,"BTC/USDC",5
17837.4,17837.4,17837.4,17837.4,0,1607684700000,"BTC/USDC",5
17837.4,17837.4,17837.4,17705.63,0,1607685000000,"BTC/USDC",5
