"open","high","low","close","volume","timestamp","pair","timeframe"
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607656860000,"LCX/BTC",3
4.5e-7,4.5e-7,4.5e-7,4.5e-7,5588,1608196860000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607657220000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607657400000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607657580000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607657760000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607657940000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607658120000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607658300000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607658480000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607658660000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607658840000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607659020000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607659200000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607659380000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607659560000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607659740000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607659920000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607660100000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607660280000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607660460000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607660640000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607660820000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607661000000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607661180000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607661360000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607661540000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607661720000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607661900000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607662080000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607662260000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607662440000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607662620000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607662800000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607662980000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607663160000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607663340000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607663520000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607663700000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607663880000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607664060000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607664240000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607664420000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607664600000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607664780000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607664960000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607665140000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607665320000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607665500000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607665680000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607665860000,"LCX/BTC",3
5.2e-7,5.2e-7,5.2e-7,5.2e-7,0,1607666040000,"LCX/BTC",3
