"open","high","low","close","volume","timestamp","pair","timeframe"
11367.45,11367.45,11360.13,11360.13,0.02966,1602964800000,"BTC/USDC",120
22742.78,22871.9,22448.03,22705.06,1.089543,1608199200000,"BTC/USDC",120
11342.33,11342.33,11342.33,11380.79,0,1602979200000,"BTC/USDC",120
11378.39,11378.39,11373.96,11373.96,0.009947,1602986400000,"BTC/USDC",120
11373.96,11373.96,11373.96,11373.96,0,1602993600000,"BTC/USDC",120
11428.3,11439.93,11428.3,11460.58,1.004235,1603000800000,"BTC/USDC",120
11466.46,11466.46,11441.23,11447.49,0.016633,1603008000000,"BTC/USDC",120
11433.55,11433.55,11425.75,11436.14,0.039093,1603015200000,"BTC/USDC",120
11449.51,11453.95,11393.86,11461.05,0.030776,1603022400000,"BTC/USDC",120
11464.39,11500.22,11405.71,11454.02,0.349962,1603029600000,"BTC/USDC",120
11454.02,11454.02,11454.02,11488.23,0,1603036800000,"BTC/USDC",120
11471.2,11479.96,11453.28,11470.93,0.140618,1603044000000,"BTC/USDC",120
11457.52,11458.62,11410.38,11446.37,1.71805,1603051200000,"BTC/USDC",120
11458.64,11458.64,11449.02,11480.74,0.02462,1603058400000,"BTC/USDC",120
11472.18,11500.22,11470.04,11481.39,1.23326,1603065600000,"BTC/USDC",120
11475.55,11484.62,11447.21,11423.94,0.384643,1603072800000,"BTC/USDC",120
11423.74,11434.57,11423.74,11438.66,0.02246,1603080000000,"BTC/USDC",120
11430.95,11440.06,11428.94,11459.13,0.037513,1603087200000,"BTC/USDC",120
11459.02,11492.46,11456.09,11466.93,0.423885,1603094400000,"BTC/USDC",120
11463.65,11463.65,11463.65,11514.09,0.004759,1603101600000,"BTC/USDC",120
11524.44,11528.33,11521.31,11655.34,0.021153,1603108800000,"BTC/USDC",120
11631.45,11631.45,11631.45,11797.44,0.002037,1603116000000,"BTC/USDC",120
11774.32,11774.32,11738.43,11731.52,0.127231,1603123200000,"BTC/USDC",120
11722.03,11775.16,11688.98,11672.87,1.352081,1603130400000,"BTC/USDC",120
11678.76,11716.71,11650.95,11770.76,0.187523,1603137600000,"BTC/USDC",120
